index,ellipse_angle_deg,ellipse_angle_derivative,motor_speed
10162,30.81,1.6099999999999994,5.0
10210,31.72,1.3900000000000006,5.0
10237,31.31,1.509999999999998,5.0
10321,31.6,1.6799999999999997,5.0
10378,29.47,0.07000000000000028,5.0
10416,29.68,1.0500000000000007,5.0
10471,33.07,1.4800000000000004,5.0
10546,33.15,2.4899999999999984,5.0
10566,30.46,0.9200000000000017,5.0
10651,31.15,1.2099999999999973,5.0
10726,29.41,0.6799999999999997,5.0
10774,28.69,0.7900000000000027,5.0
10888,31.95,0.10999999999999943,5.0
10926,31.35,1.5700000000000003,5.0
10954,30.1,0.16000000000000014,5.0
11001,34.09,0.980000000000004,5.0
11029,35.52,1.6300000000000026,5.0
11085,34.98,0.9899999999999949,5.0
11180,33.82,0.4399999999999977,5.0
11217,33.56,2.480000000000004,5.0
11361,33.64,1.5399999999999991,5.0
11400,32.39,0.8200000000000003,5.0
11447,31.19,0.4299999999999997,5.0
11466,31.23,1.7600000000000016,5.0
11496,29.49,0.8499999999999979,5.0
11555,30.75,1.0599999999999987,5.0
11658,33.66,0.27999999999999403,5.0
11789,31.94,0.3500000000000014,5.0
11933,34.58,1.4299999999999997,5.0
12026,33.07,1.25,5.0
12084,37.0,0.8299999999999983,10.0
12186,35.28,0.490000000000002,10.0
12234,41.62,0.9600000000000009,10.0
12254,37.7,1.1600000000000037,10.0
12273,38.01,1.3599999999999994,10.0
12291,38.04,1.0799999999999983,10.0
12311,38.61,2.5700000000000003,10.0
12359,33.15,1.7999999999999972,10.0
12416,34.24,0.7600000000000051,10.0
12452,36.21,3.1899999999999977,10.0
12519,32.51,2.3399999999999963,10.0
12537,32.04,0.5500000000000007,10.0
12594,35.09,0.13000000000000256,10.0
12630,32.02,1.3400000000000034,10.0
12668,33.26,0.03999999999999915,10.0
12696,31.45,1.3299999999999983,10.0
12750,37.2,2.1799999999999997,10.0
12851,35.04,0.3299999999999983,10.0
12888,37.22,0.8799999999999955,10.0
12935,33.64,0.490000000000002,10.0
12962,34.72,2.280000000000001,10.0
12999,34.36,1.4200000000000017,10.0
13065,34.64,1.009999999999998,10.0
13083,33.37,0.22999999999999687,10.0
13122,34.74,3.620000000000001,10.0
13187,32.35,0.25,10.0
13215,34.22,3.6799999999999997,10.0
13392,34.89,0.6000000000000014,10.0
13430,37.14,1.9500000000000028,10.0
13494,39.36,1.0700000000000003,10.0
13551,34.22,3.419999999999998,10.0
13587,37.29,0.8399999999999963,10.0
13623,31.59,1.7800000000000011,10.0
13688,33.9,0.5599999999999952,10.0
13745,33.48,1.7199999999999953,10.0
13802,34.3,3.2499999999999964,10.0
13848,32.21,0.5500000000000007,10.0
13868,31.64,2.1000000000000014,10.0
13941,33.24,1.0800000000000054,10.0
13970,35.45,2.520000000000003,10.0
14061,44.55,0.02999999999999403,10.0
14100,39.38,1.1000000000000014,10.0
14118,36.3,0.7099999999999937,10.0
14157,40.42,3.1200000000000045,10.0
14195,36.65,1.4099999999999966,10.0
14259,38.94,2.460000000000001,10.0
14325,37.23,1.3899999999999935,10.0
14343,36.22,0.5,10.0
14391,37.31,0.28000000000000114,10.0
14427,35.09,1.6600000000000037,10.0
14456,35.72,1.9799999999999969,10.0
14538,37.94,3.3299999999999983,10.0
14604,40.58,1.769999999999996,10.0
14633,40.52,1.9299999999999997,10.0
14679,39.44,0.5300000000000011,10.0
14706,39.97,1.240000000000002,10.0
14789,38.23,1.4899999999999949,10.0
14826,39.67,3.219999999999999,10.0
14882,40.16,4.539999999999999,10.0
14919,34.5,0.13000000000000256,10.0
14976,38.45,2.0500000000000043,10.0
15017,34.59,0.8600000000000065,10.0
15053,34.97,1.3799999999999955,10.0
15071,31.82,0.120000000000001,10.0
15118,38.2,0.6900000000000048,10.0
15184,40.3,1.6699999999999946,10.0
15268,40.58,1.1899999999999977,10.0
15314,40.56,3.760000000000005,10.0
15380,38.97,4.310000000000002,10.0
15473,40.53,0.3299999999999983,10.0
15578,38.6,1.8200000000000003,10.0
15614,37.85,1.1700000000000017,10.0
15650,34.55,0.519999999999996,10.0
15697,37.83,1.0599999999999952,10.0
15725,36.37,2.309999999999995,10.0
15782,43.51,3.8399999999999963,10.0
15829,38.57,0.3299999999999983,10.0
15857,40.28,1.0700000000000003,10.0
15875,40.81,2.730000000000004,10.0
15913,38.1,2.009999999999998,10.0
15949,39.39,0.9100000000000037,10.0
15977,41.74,1.5300000000000011,10.0
16061,38.97,2.460000000000001,10.0
16127,35.05,0.36999999999999744,10.0
16156,33.8,0.6499999999999986,10.0
16184,37.42,0.6499999999999986,10.0
16238,37.0,1.3999999999999986,10.0
16304,37.8,1.7299999999999969,10.0
16379,39.79,1.1599999999999966,10.0
16418,38.94,2.280000000000001,10.0
16466,42.94,2.3699999999999974,10.0
16514,39.55,2.469999999999999,10.0
16532,39.87,1.8299999999999983,10.0
16579,35.28,1.0600000000000023,10.0
16606,35.19,1.4699999999999989,10.0
16643,37.4,2.8699999999999974,10.0
16699,37.11,0.519999999999996,10.0
16726,35.29,0.1700000000000017,10.0
16747,33.8,1.769999999999996,10.0
16786,36.37,2.309999999999995,10.0
16841,36.79,1.9699999999999989,10.0
16877,32.85,0.060000000000002274,10.0
16895,34.39,2.580000000000002,10.0
16933,38.7,1.1700000000000017,10.0
16961,38.06,0.8700000000000045,10.0
16997,38.56,1.480000000000004,10.0
17053,42.51,1.5399999999999991,10.0
17129,39.23,0.11999999999999744,10.0
17157,37.32,0.10000000000000142,10.0
17194,37.9,0.04999999999999716,10.0
17212,36.27,0.44000000000000483,10.0
17275,38.6,0.990000000000002,10.0
17294,36.72,0.8999999999999986,10.0
17312,34.45,0.23000000000000398,10.0
17359,38.04,2.549999999999997,10.0
17417,37.56,1.1400000000000006,10.0
17456,34.78,0.05000000000000426,10.0
17495,35.1,1.8599999999999994,10.0
17542,38.88,3.6700000000000017,10.0
17618,38.9,0.030000000000001137,10.0
17666,41.74,1.5100000000000051,10.0
17702,38.38,0.3100000000000023,10.0
