index,ellipse_angle_deg,ellipse_angle_derivative
28613,48.12,-1.9400000000000048
28669,45.45,-3.119999999999997
28736,44.29,-1.4299999999999995
28765,44.72,-1.490000000000002
28784,45.71,-1.4600000000000009
28844,45.42,-1.75
28871,44.93,-2.18
28901,41.18,-6.640000000000001
28921,43.4,-1.1700000000000017
28940,42.97,-2.93
29006,44.15,-1.7800000000000011
29054,46.67,-2.140000000000001
29087,49.13,-1.1299999999999957
29162,44.23,-4.940000000000005
29210,45.46,-3.509999999999998
29239,47.84,-1.0899999999999963
29267,45.39,-1.0799999999999983
29287,43.61,-3.030000000000001
29306,44.47,-1.25
29360,44.55,-1.3300000000000054
29407,44.78,-4.159999999999997
29426,44.71,-1.93
29482,43.93,-1.7800000000000011
29501,39.05,-5.640000000000001
29539,46.4,-3.0500000000000043
29567,44.18,-1.1499999999999986
29587,43.74,-1.7399999999999949
29615,44.3,-4.0
29642,42.38,-5.5
29671,41.9,-3.1000000000000014
29708,45.6,-3.3799999999999955
29756,47.38,-3.279999999999994
29843,47.29,-1.490000000000002
29911,47.08,-1.1799999999999995
29960,44.76,-3.510000000000005
29990,44.75,-1.5600000000000025
30008,44.41,-1.3100000000000025
30028,44.57,-1.509999999999998
30065,46.57,-1.6599999999999966
30143,47.27,-3.949999999999996
30161,48.74,-1.9699999999999989
30190,45.15,-5.810000000000002
30275,41.46,-10.47
30295,42.25,-1.7700000000000031
30325,46.62,-1.4200000000000017
30353,48.28,-3.6000000000000014
30392,50.6,-3.390000000000001
30422,47.96,-3.8500000000000014
30506,47.92,-1.4799999999999969
30555,46.36,-3.4399999999999977
30574,47.93,-1.4799999999999969
30610,45.8,-2.3700000000000045
30639,52.05,-1.6099999999999994
30658,47.57,-6.75
30685,46.21,-1.1599999999999966
30705,44.92,-2.9099999999999966
30733,49.74,-1.2299999999999969
30751,49.77,-2.479999999999997
30799,46.33,-1.4400000000000048
30828,43.37,-5.470000000000006
30865,52.3,-2.970000000000006
30922,48.32,-1.3299999999999983
30940,45.95,-4.089999999999996
30997,48.24,-3.559999999999995
31053,46.11,-2.3999999999999986
31081,45.86,-3.5700000000000003
31102,49.44,-1.6900000000000048
31132,51.31,-2.4199999999999946
31228,49.92,-2.3799999999999955
31248,46.95,-3.640000000000001
31297,46.27,-1.6799999999999995
31315,44.52,-4.149999999999999
31344,49.99,-2.8500000000000014
31363,48.22,-3.68
31381,46.85,-5.780000000000001
31410,44.52,-4.829999999999998
31458,50.41,-4.420000000000002
31477,46.62,-4.770000000000003
31507,47.04,-4.280000000000001
31534,47.14,-3.3999999999999986
31563,48.92,-1.3299999999999983
31591,50.55,-1.1799999999999995
31618,46.42,-5.0
31666,46.73,-4.800000000000004
31686,48.47,-1.8700000000000043
31735,45.89,-3.5899999999999963
31837,52.43,-4.0
31876,49.69,-5.330000000000005
31942,50.25,-1.1300000000000026
31960,52.19,-1.0399999999999991
31998,45.62,-2.010000000000005
32090,52.5,-2.460000000000001
32118,45.85,-5.649999999999999
32155,45.24,-6.530000000000001
32212,47.73,-4.020000000000003
32232,44.04,-5.420000000000002
32260,47.86,-4.57
32278,44.19,-5.240000000000002
32308,52.23,-2.1500000000000057
32337,52.34,-1.9099999999999968
32356,49.43,-4.219999999999999
32413,49.24,-1.2399999999999949
32431,47.57,-2.3100000000000023
32460,49.97,-1.7800000000000011
32478,46.48,-3.82
32518,46.15,-4.590000000000003
32589,49.79,-6.469999999999999
32608,50.49,-2.960000000000001
32629,50.0,-2.539999999999999
32676,50.26,-2.8999999999999986
32695,49.49,-1.3900000000000006
32724,45.61,-4.950000000000003
32752,46.13,-4.159999999999997
32829,54.18,-2.910000000000004
32868,51.59,-2.1599999999999966
32938,50.47,-3.1899999999999977
32995,48.83,-2.1300000000000026
33052,54.17,-4.449999999999996
33118,47.12,-6.010000000000005
33156,51.02,-1.009999999999998
33193,45.98,-6.350000000000001
33250,47.92,-4.659999999999997
33354,49.97,-2.9399999999999977
33402,53.11,-3.25
33430,48.72,-1.1400000000000006
33450,45.78,-3.649999999999999
33486,49.62,-1.1799999999999995
33534,52.33,-2.3599999999999994
33574,51.7,-3.279999999999994
33778,49.11,-2.469999999999999
33837,50.49,-6.089999999999996
33874,53.59,-1.6299999999999957
33913,53.82,-1.2199999999999989
34009,51.43,-2.6000000000000014
34048,55.18,-1.5799999999999983
34068,54.0,-2.18
34116,51.32,-2.0799999999999983
34182,43.76,-3.800000000000004
34201,45.82,-1.4200000000000017
34221,43.03,-9.420000000000002
34249,50.04,-4.780000000000001
34348,49.82,-6.32
34390,50.43,-1.7000000000000028
34409,48.8,-4.970000000000006
34478,49.34,-2.3499999999999943
34506,51.74,-1.0799999999999983
34641,48.59,-7.269999999999996
34670,43.8,-4.650000000000006
34689,46.97,-3.86
34745,53.85,-1.5399999999999991
34764,55.7,-2.989999999999995
34890,49.12,-5.800000000000004
34920,45.43,-3.649999999999999
34940,46.26,-3.93
34989,53.3,-1.8500000000000012
35037,53.59,-4.009999999999998
35066,51.59,-2.1699999999999946
35124,52.45,-1.2299999999999969
35154,47.23,-1.240000000000002
35172,48.63,-3.1599999999999966
35193,50.32,-2.030000000000001
35259,54.74,-5.460000000000001
35289,52.87,-7.010000000000005
35365,53.19,-1.3700000000000043
35414,49.04,-1.2199999999999989
35433,50.18,-4.539999999999999
35463,49.9,-3.3700000000000045
35493,55.14,-4.18
35523,50.29,-7.670000000000002
35543,48.17,-3.390000000000001
35560,51.33,-1.4100000000000037
35610,49.2,-8.29
35730,53.64,-2.509999999999998
35760,54.25,-4.859999999999999
35819,52.67,-1.3500000000000014
35838,49.59,-3.8899999999999935
35868,51.99,-4.640000000000001
35925,47.84,-4.559999999999995
35943,46.23,-3.660000000000004
36012,52.45,-10.979999999999997
36159,45.13,-4.93
36189,47.95,-2.019999999999996
36249,51.29,-4.030000000000001
36270,55.32,-1.7899999999999991
