index,ellipse_angle_deg,ellipse_angle_derivative
17957,29.6,-1.2399999999999984
18014,34.66,-1.7900000000000063
18034,33.26,-4.359999999999999
18044,31.61,-1.6499999999999986
18083,33.17,-4.549999999999997
18110,33.73,-2.4100000000000037
18146,39.74,-4.640000000000001
18157,38.53,-1.2100000000000009
18166,37.45,-1.0799999999999983
18194,41.18,-1.6099999999999994
18223,39.63,-4.329999999999998
18251,38.93,-2.6799999999999997
18271,36.3,-2.5900000000000034
18290,37.58,-1.980000000000004
18308,39.4,-1.5
18317,35.59,-3.809999999999995
18371,36.43,-1.6400000000000006
18410,34.11,-2.8900000000000006
18458,36.63,-6.049999999999997
18479,31.58,-4.980000000000004
18518,38.22,-1.2800000000000011
18536,37.75,-2.1499999999999986
18583,39.2,-2.009999999999998
18640,38.03,-5.039999999999999
18677,39.23,-1.0800000000000054
18686,37.2,-2.029999999999994
18715,39.77,-2.6799999999999997
18734,35.25,-5.259999999999998
18791,35.3,-5.300000000000004
18847,36.18,-1.4200000000000017
18865,35.48,-2.8500000000000014
18874,31.79,-3.6899999999999977
18933,36.75,-4.390000000000001
18951,34.04,-2.240000000000002
19008,39.55,-2.3200000000000003
19027,37.43,-1.2999999999999972
19056,39.11,-1.7700000000000031
19075,35.39,-6.399999999999999
19123,37.25,-1.5300000000000011
19150,37.4,-2.259999999999998
19159,35.75,-1.6499999999999986
19170,34.48,-1.2700000000000031
19216,34.03,-3.6400000000000006
19291,36.4,-1.6799999999999997
19300,35.37,-1.0300000000000011
19309,34.12,-1.25
19389,38.17,-2.8900000000000006
19426,41.3,-2.8200000000000003
19464,41.73,-1.5100000000000051
19473,36.53,-5.199999999999996
19492,37.3,-1.2800000000000011
19519,37.84,-5.439999999999998
19528,36.67,-1.1700000000000017
19546,35.14,-2.1000000000000014
19576,39.84,-1.2299999999999969
19587,36.1,-3.740000000000002
19597,33.58,-2.520000000000003
19644,36.52,-2.1899999999999977
19654,34.46,-2.0600000000000023
19699,35.97,-4.060000000000002
19729,35.56,-1.8099999999999952
19747,33.75,-4.229999999999997
19795,38.66,-6.470000000000006
19843,40.25,-2.210000000000001
19870,37.38,-5.82
19908,38.68,-1.3299999999999983
19926,36.26,-1.8400000000000034
19963,36.34,-3.4099999999999966
20008,38.25,-1.1000000000000014
20019,36.22,-2.030000000000001
20028,33.99,-2.229999999999997
20056,37.98,-1.8700000000000045
20085,35.81,-3.549999999999997
20158,36.28,-1.8799999999999955
20187,38.44,-3.0800000000000054
20224,41.36,-1.4299999999999997
20256,39.35,-1.5300000000000011
20265,37.28,-2.0700000000000003
20302,40.2,-2.5
20322,34.5,-5.100000000000001
20368,37.54,-4.439999999999998
20443,37.23,-1.0400000000000063
20461,37.49,-2.6299999999999955
20481,34.3,-4.830000000000005
20518,38.82,-2.799999999999997
20536,34.59,-4.459999999999994
20593,38.48,-3.480000000000004
20630,42.98,-1.9600000000000009
20638,41.64,-1.3399999999999963
20659,39.12,-2.8900000000000006
20716,39.71,-1.4200000000000017
20743,37.68,-1.8400000000000034
20772,38.06,-1.2199999999999989
20800,38.21,-2.8100000000000023
20836,38.16,-2.1300000000000026
20845,36.24,-1.9199999999999946
20902,37.46,-4.490000000000002
20920,31.24,-5.73
20986,37.57,-6.289999999999999
21042,41.2,-2.6099999999999994
21049,38.51,-2.690000000000005
21088,40.75,-1.3400000000000034
21097,39.42,-1.3299999999999983
21118,37.72,-3.759999999999998
21157,37.17,-2.539999999999999
21186,38.89,-1.7299999999999969
21196,37.28,-1.6099999999999994
21214,36.38,-1.279999999999994
21234,35.54,-2.469999999999999
21280,34.91,-4.090000000000003
21330,37.68,-2.240000000000002
21339,35.4,-2.280000000000001
21376,37.8,-4.280000000000001
21453,42.5,-1.2800000000000011
21463,40.26,-2.240000000000002
21499,40.65,-2.759999999999998
21508,37.55,-3.1000000000000014
21527,38.69,-1.3200000000000003
21546,36.78,-2.6799999999999997
21601,39.47,-1.4200000000000017
21612,34.56,-4.909999999999997
21631,38.07,-1.990000000000002
21687,38.52,-2.469999999999999
21696,36.95,-1.5700000000000003
21724,36.78,-1.2100000000000009
21835,40.75,-3.030000000000001
21894,38.79,-2.520000000000003
21922,39.83,-1.1700000000000017
21952,38.88,-2.5700000000000003
21963,36.67,-2.210000000000001
22021,37.32,-1.5799999999999983
22048,37.21,-1.4499999999999957
22068,39.27,-2.3499999999999943
22077,37.97,-1.3000000000000043
22105,37.33,-2.490000000000002
22141,35.97,-3.5700000000000003
22180,36.48,-2.200000000000003
22255,42.64,-3.5700000000000003
22264,40.4,-2.240000000000002
22333,37.28,-5.009999999999998
22372,39.86,-5.07
22381,37.99,-1.8699999999999974
22399,36.03,-1.4099999999999966
22420,35.25,-2.4099999999999966
22459,36.13,-2.8799999999999955
22507,38.56,-3.219999999999999
22516,36.2,-2.3599999999999994
22534,34.64,-2.5
22564,40.31,-1.3999999999999986
22573,38.22,-2.0900000000000034
22603,37.36,-3.740000000000002
22642,44.7,-1.7099999999999937
22651,43.69,-1.0100000000000051
22662,40.46,-3.229999999999997
22689,40.26,-2.760000000000005
22755,36.83,-6.140000000000001
22784,37.08,-2.0900000000000034
22812,40.8,-3.1500000000000057
22821,37.1,-3.6999999999999957
22831,35.83,-1.2700000000000031
22881,37.53,-2.75
22892,36.47,-1.0600000000000023
22920,35.67,-2.469999999999999
22949,37.02,-3.3399999999999963
22997,39.18,-2.460000000000001
23052,43.72,-1.8000000000000043
23063,42.63,-1.0899999999999963
23073,41.24,-1.3900000000000006
23103,38.65,-1.5900000000000034
23169,38.8,-3.720000000000006
23198,37.53,-1.9799999999999969
23217,33.96,-6.490000000000002
23255,38.82,-2.259999999999998
23264,36.82,-2.0
23274,35.45,-1.3699999999999974
23304,39.26,-2.8500000000000014
23331,39.3,-4.060000000000002
23340,37.31,-1.9899999999999949
23349,34.25,-3.0600000000000023
23378,37.38,-1.0999999999999943
23406,41.16,-2.3300000000000054
23454,39.87,-6.75
23463,37.49,-2.3799999999999955
23502,39.24,-2.969999999999999
23538,40.72,-2.8100000000000023
23547,38.34,-2.3799999999999955
23588,35.52,-4.82
23618,37.73,-1.730000000000004
23637,39.34,-2.2099999999999937
23657,38.64,-1.0899999999999963
23685,39.52,-1.4299999999999997
23706,39.96,-1.9699999999999989
23744,39.49,-1.4099999999999966
23763,37.97,-2.6400000000000006
23774,35.81,-2.1599999999999966
23793,36.06,-2.799999999999997
23850,45.0,-1.1400000000000006
23859,40.2,-4.799999999999997
23870,37.7,-2.5
23889,39.33,-1.1300000000000026
23928,41.12,-2.6200000000000045
23937,38.63,-2.489999999999995
23966,38.23,-1.3000000000000043
23985,37.96,-2.019999999999996
23994,36.79,-1.1700000000000017
24023,38.68,-3.450000000000003
24042,37.93,-1.7700000000000031
24060,42.67,-1.0599999999999952
24069,41.2,-1.4699999999999989
24078,39.43,-1.7700000000000031
24096,39.72,-1.2700000000000031
24126,40.33,-3.6099999999999994
24155,38.91,-3.6400000000000006
24213,43.29,-1.8699999999999974
24249,42.12,-3.470000000000006
24269,42.79,-1.6400000000000006
24278,41.59,-1.1999999999999957
