index,ellipse_angle_deg,ellipse_angle_derivative,motor_speed
12462,35.71,-0.5,10.0
12480,32.72,-0.9399999999999977,10.0
12491,31.54,-1.1799999999999997,10.0
12500,28.15,-3.3900000000000006,10.0
12528,31.49,-1.0199999999999996,10.0
12576,32.58,-0.6600000000000037,10.0
12612,32.97,-0.6899999999999977,10.0
12621,30.68,-2.289999999999999,10.0
12677,32.91,-0.3500000000000014,10.0
12687,30.12,-2.7899999999999956,10.0
12761,36.46,-0.740000000000002,10.0
12840,34.71,-0.8500000000000014,10.0
12861,33.12,-1.9200000000000017,10.0
12897,32.92,-4.299999999999997,10.0
12944,33.6,-0.03999999999999915,10.0
12953,32.44,-1.1600000000000037,10.0
12990,32.94,-0.75,10.0
13046,33.07,-0.7299999999999969,10.0
13074,33.14,-1.5,10.0
13092,32.13,-1.2399999999999949,10.0
13103,30.92,-1.2100000000000009,10.0
13131,33.26,-1.480000000000004,10.0
13178,32.1,-0.17999999999999972,10.0
13224,33.35,-0.8699999999999974,10.0
13233,31.65,-1.7000000000000028,10.0
13374,33.47,-0.8800000000000026,10.0
13419,35.19,-0.5600000000000023,10.0
13439,34.4,-2.740000000000002,10.0
13503,38.86,-0.5,10.0
13514,33.77,-5.089999999999996,10.0
13523,31.43,-2.3400000000000034,10.0
13532,29.22,-2.210000000000001,10.0
13560,32.37,-1.8500000000000014,10.0
13596,34.36,-2.9299999999999997,10.0
13605,31.33,-3.030000000000001,10.0
13614,29.81,-1.5199999999999996,10.0
13668,32.61,-0.46000000000000085,10.0
13707,29.96,-0.6199999999999974,10.0
13812,33.79,-0.509999999999998,10.0
13839,31.66,-0.9199999999999982,10.0
13857,29.54,-2.6700000000000017,10.0
13932,32.16,-0.5400000000000063,10.0
13950,31.8,-1.4400000000000013,10.0
13988,33.56,-0.5300000000000011,10.0
14016,31.41,-0.7499999999999964,10.0
14070,41.44,-3.1099999999999994,10.0
14079,37.86,-3.5799999999999983,10.0
14109,35.59,-3.789999999999999,10.0
14129,34.47,-1.8299999999999983,10.0
14166,39.21,-1.2100000000000009,10.0
14177,34.88,-4.329999999999998,10.0
14204,34.27,-2.3799999999999955,10.0
14250,36.48,-0.20000000000000284,10.0
14288,35.17,-0.759999999999998,10.0
14316,35.84,-0.22999999999999687,10.0
14334,35.72,-1.509999999999998,10.0
14354,32.82,-3.3999999999999986,10.0
14363,31.38,-1.4400000000000013,10.0
14399,36.04,-1.2700000000000031,10.0
14409,33.22,-2.8200000000000003,10.0
14436,33.74,-1.3500000000000014,10.0
14549,37.06,-0.8799999999999955,10.0
14577,32.33,-0.46000000000000085,10.0
14640,40.23,-0.29000000000000625,10.0
14651,36.08,-4.149999999999999,10.0
14715,39.62,-0.3500000000000014,10.0
14735,36.85,-0.75,10.0
14769,35.03,-0.6400000000000006,10.0
14798,33.28,-4.949999999999996,10.0
14835,36.72,-2.950000000000003,10.0
14892,39.26,-0.8999999999999986,10.0
14901,35.8,-3.460000000000001,10.0
14910,34.37,-1.4299999999999997,10.0
14948,31.69,-0.28999999999999915,10.0
14986,37.35,-1.1000000000000014,10.0
14998,33.12,-4.230000000000004,10.0
15026,32.49,-2.1000000000000014,10.0
15062,31.7,-3.2699999999999996,10.0
15080,30.21,-1.6099999999999994,10.0
15137,36.37,-0.1700000000000017,10.0
15193,39.59,-0.7099999999999937,10.0
15202,37.39,-2.200000000000003,10.0
15287,38.92,-0.7299999999999969,10.0
15332,39.99,-0.5499999999999972,10.0
15344,38.45,-1.5399999999999991,10.0
15391,38.09,-0.8799999999999955,10.0
15446,34.8,-0.8500000000000014,10.0
15482,37.57,-2.960000000000001,10.0
15493,35.77,-1.7999999999999972,10.0
15502,34.43,-1.3400000000000034,10.0
15548,33.9,-0.7899999999999991,10.0
15587,36.99,-1.6099999999999994,10.0
15625,37.35,-0.5,10.0
15643,34.03,-0.8100000000000023,10.0
15706,37.42,-0.4099999999999966,10.0
15734,35.76,-0.6099999999999994,10.0
15791,43.36,-0.14999999999999858,10.0
15800,41.48,-1.8800000000000026,10.0
15809,39.35,-2.1299999999999955,10.0
15818,38.24,-1.1099999999999994,10.0
15838,37.5,-1.0700000000000003,10.0
15866,38.08,-2.200000000000003,10.0
15893,38.24,-0.8299999999999983,10.0
15904,36.09,-2.1499999999999986,10.0
15922,36.51,-1.5900000000000034,10.0
15959,37.72,-1.6700000000000017,10.0
15995,36.26,-0.8599999999999994,10.0
16015,31.97,-0.8800000000000026,10.0
16024,30.62,-1.3499999999999979,10.0
16072,35.27,-3.6999999999999957,10.0
16080,33.07,-2.200000000000003,10.0
16136,34.43,-0.6199999999999974,10.0
16147,33.15,-1.2800000000000011,10.0
16193,36.55,-0.8700000000000045,10.0
16258,36.4,-0.21000000000000085,10.0
16267,34.52,-1.8799999999999955,10.0
16276,32.46,-2.0600000000000023,10.0
16334,31.93,-0.5300000000000011,10.0
16390,35.16,-4.630000000000003,10.0
16399,33.78,-1.3799999999999955,10.0
16475,42.31,-0.6299999999999955,10.0
16486,33.88,-8.43,10.0
16541,39.71,-0.1599999999999966,10.0
16550,37.76,-1.9500000000000028,10.0
16568,34.22,-0.9299999999999997,10.0
16588,31.53,-3.75,10.0
16652,37.33,-0.07000000000000028,10.0
16661,36.32,-1.009999999999998,10.0
16681,32.92,-0.04999999999999716,10.0
16709,34.6,-2.509999999999998,10.0
16756,33.47,-0.3299999999999983,10.0
16793,36.09,-0.27999999999999403,10.0
16832,34.82,-0.8299999999999983,10.0
16859,35.06,-0.3200000000000003,10.0
16868,32.79,-2.270000000000003,10.0
16886,31.81,-1.0400000000000027,10.0
16904,32.35,-2.039999999999999,10.0
16942,36.65,-2.0500000000000043,10.0
16970,36.19,-1.8700000000000045,10.0
16979,34.88,-1.3099999999999952,10.0
17006,37.5,-1.0600000000000023,10.0
17015,32.73,-4.770000000000003,10.0
17072,37.5,-0.3999999999999986,10.0
17101,35.76,-0.8100000000000023,10.0
17138,36.83,-2.3999999999999986,10.0
17167,35.97,-1.3500000000000014,10.0
17176,34.6,-1.3699999999999974,10.0
17202,35.83,-2.0700000000000003,10.0
17248,35.16,-0.010000000000005116,10.0
17285,35.82,-2.780000000000001,10.0
17321,33.56,-0.8900000000000006,10.0
17330,30.74,-2.820000000000004,10.0
17369,35.5,-2.539999999999999,10.0
17380,32.93,-2.5700000000000003,10.0
17390,30.95,-1.9800000000000004,10.0
17467,34.03,-0.75,10.0
17477,32.05,-1.980000000000004,10.0
17504,31.62,-3.4800000000000004,10.0
17552,36.87,-2.010000000000005,10.0
17579,35.41,-0.6800000000000068,10.0
17684,40.4,-0.5300000000000011,10.0
17693,38.07,-2.3299999999999983,10.0
17740,38.82,-0.3100000000000023,10.0
17759,36.62,-2.780000000000001,10.0
17807,33.6,-5.949999999999996,10.0
17816,31.34,-2.2600000000000016,10.0
17863,34.81,-1.9099999999999966,10.0
17911,36.15,-0.759999999999998,10.0
17939,34.88,-3.0,10.0
17948,30.84,-4.040000000000003,10.0
17957,29.6,-1.2399999999999984,10.0
18014,34.66,-1.7900000000000063,10.0
18034,33.26,-4.359999999999999,10.0
18044,31.61,-1.6499999999999986,10.0
18101,36.14,-0.8900000000000006,15.0
18110,33.73,-2.4100000000000037,15.0
18146,39.74,-4.640000000000001,15.0
18157,38.53,-1.2100000000000009,15.0
18166,37.45,-1.0799999999999983,15.0
18194,41.18,-1.6099999999999994,15.0
18223,39.63,-4.329999999999998,15.0
18260,38.89,-0.03999999999999915,15.0
18271,36.3,-2.5900000000000034,15.0
18290,37.58,-1.980000000000004,15.0
18308,39.4,-1.5,15.0
18362,38.07,-0.75,15.0
18401,37.0,-0.07000000000000028,15.0
18429,34.44,-0.3100000000000023,15.0
18467,36.56,-0.07000000000000028,15.0
18479,31.58,-4.980000000000004,15.0
18518,38.22,-1.2800000000000011,15.0
18563,38.33,-0.46999999999999886,15.0
18601,39.07,-0.6799999999999997,15.0
18640,38.03,-5.039999999999999,15.0
18677,39.23,-1.0800000000000054,15.0
18686,37.2,-2.029999999999994,15.0
18715,39.77,-2.6799999999999997,15.0
18782,40.6,-0.4200000000000017,15.0
18818,36.29,-0.8599999999999994,15.0
18847,36.18,-1.4200000000000017,15.0
18865,35.48,-2.8500000000000014,15.0
18874,31.79,-3.6899999999999977,15.0
18942,36.28,-0.46999999999999886,15.0
18999,41.87,-0.9100000000000037,15.0
19018,38.73,-0.8200000000000003,15.0
19047,40.88,-0.75,15.0
19056,39.11,-1.7700000000000031,15.0
19114,38.78,-0.18999999999999773,15.0
19123,37.25,-1.5300000000000011,15.0
19150,37.4,-2.259999999999998,15.0
19159,35.75,-1.6499999999999986,15.0
19207,37.67,-0.7899999999999991,15.0
19281,38.08,-0.5700000000000003,15.0
19291,36.4,-1.6799999999999997,15.0
19300,35.37,-1.0300000000000011,15.0
19338,34.91,-0.9300000000000068,15.0
19389,38.17,-2.8900000000000006,15.0
19435,41.07,-0.22999999999999687,15.0
19464,41.73,-1.5100000000000051,15.0
19473,36.53,-5.199999999999996,15.0
19492,37.3,-1.2800000000000011,15.0
19519,37.84,-5.439999999999998,15.0
19528,36.67,-1.1700000000000017,15.0
19546,35.14,-2.1000000000000014,15.0
19576,39.84,-1.2299999999999969,15.0
19587,36.1,-3.740000000000002,15.0
19635,38.71,-0.7800000000000011,15.0
19644,36.52,-2.1899999999999977,15.0
19690,40.03,-0.46999999999999886,15.0
19699,35.97,-4.060000000000002,15.0
19729,35.56,-1.8099999999999952,15.0
19747,33.75,-4.229999999999997,15.0
19805,37.89,-0.769999999999996,15.0
19843,40.25,-2.210000000000001,15.0
19870,37.38,-5.82,15.0
19917,38.1,-0.5799999999999983,15.0
19954,39.75,-0.4099999999999966,15.0
19999,39.35,-0.00999999999999801,15.0
20008,38.25,-1.1000000000000014,15.0
20019,36.22,-2.030000000000001,15.0
20028,33.99,-2.229999999999997,15.0
20056,37.98,-1.8700000000000045,15.0
20149,38.16,-0.7700000000000031,15.0
20158,36.28,-1.8799999999999955,15.0
20197,37.52,-0.9199999999999946,15.0
20245,40.88,-0.7399999999999949,15.0
20256,39.35,-1.5300000000000011,15.0
20265,37.28,-2.0700000000000003,15.0
20311,39.6,-0.6000000000000014,15.0
20322,34.5,-5.100000000000001,15.0
20425,37.34,-0.7199999999999989,15.0
20443,37.23,-1.0400000000000063,15.0
20461,37.49,-2.6299999999999955,15.0
20500,38.11,-0.490000000000002,15.0
20518,38.82,-2.799999999999997,15.0
20565,37.7,-0.9599999999999937,15.0
20593,38.48,-3.480000000000004,15.0
20630,42.98,-1.9600000000000009,15.0
20638,41.64,-1.3399999999999963,15.0
20697,39.64,-0.030000000000001137,15.0
20734,39.52,-0.17999999999999972,15.0
20763,39.28,-0.19999999999999574,15.0
20782,37.2,-0.8599999999999994,15.0
20809,37.37,-0.8400000000000034,15.0
20836,38.16,-2.1300000000000026,15.0
20883,39.56,-0.9899999999999949,15.0
20911,36.97,-0.490000000000002,15.0
20949,37.43,-0.6600000000000037,15.0
20986,37.57,-6.289999999999999,15.0
21042,41.2,-2.6099999999999994,15.0
21049,38.51,-2.690000000000005,15.0
21088,40.75,-1.3400000000000034,15.0
21097,39.42,-1.3299999999999983,15.0
21147,39.71,-0.46999999999999886,15.0
21157,37.17,-2.539999999999999,15.0
21186,38.89,-1.7299999999999969,15.0
21196,37.28,-1.6099999999999994,15.0
21214,36.38,-1.279999999999994,15.0
21234,35.54,-2.469999999999999,15.0
21319,39.92,-0.7800000000000011,15.0
21330,37.68,-2.240000000000002,15.0
21349,35.35,-0.04999999999999716,15.0
21376,37.8,-4.280000000000001,15.0
21453,42.5,-1.2800000000000011,15.0
21472,39.79,-0.46999999999999886,15.0
21499,40.65,-2.759999999999998,15.0
21508,37.55,-3.1000000000000014,15.0
21527,38.69,-1.3200000000000003,15.0
21583,38.09,-0.519999999999996,15.0
21601,39.47,-1.4200000000000017,15.0
21612,34.56,-4.909999999999997,15.0
21658,38.72,-0.5399999999999991,15.0
21687,38.52,-2.469999999999999,15.0
21706,36.89,-0.060000000000002274,15.0
21817,42.47,-0.240000000000002,15.0
21885,41.31,-0.8699999999999974,15.0
21894,38.79,-2.520000000000003,15.0
21922,39.83,-1.1700000000000017,15.0
21952,38.88,-2.5700000000000003,15.0
22012,38.9,-0.8500000000000014,15.0
22021,37.32,-1.5799999999999983,15.0
22048,37.21,-1.4499999999999957,15.0
22068,39.27,-2.3499999999999943,15.0
22077,37.97,-1.3000000000000043,15.0
22132,39.54,-0.060000000000002274,15.0
22170,38.68,-0.030000000000001137,15.0
22218,40.84,-0.3199999999999932,15.0
22255,42.64,-3.5700000000000003,15.0
22312,42.05,-0.7000000000000028,15.0
22333,37.28,-5.009999999999998,15.0
22372,39.86,-5.07,15.0
22390,37.44,-0.5500000000000043,15.0
22399,36.03,-1.4099999999999966,15.0
22449,39.01,-0.3999999999999986,15.0
22459,36.13,-2.8799999999999955,15.0
22507,38.56,-3.219999999999999,15.0
22516,36.2,-2.3599999999999994,15.0
22534,34.64,-2.5,15.0
22564,40.31,-1.3999999999999986,15.0
22573,38.22,-2.0900000000000034,15.0
22603,37.36,-3.740000000000002,15.0
22642,44.7,-1.7099999999999937,15.0
22651,43.69,-1.0100000000000051,15.0
